(2.281383,7.546760e+31);(5.613459,5.350000e+31);(1.380560,9.836390e+30);1.730561;(-99302869962.93,108706458071.00,147235029830.59,3.48);(-118426088596.39,207871811594.00,239239270429.44,0.93);100.509966
(2.290226,7.546760e+31);(5.630367,5.350000e+31);(1.381972,9.836390e+30);1.728177;(-101232331006.11,106932134863.50,147249673369.40,3.50);(-120083131166.64,206734256871.90,239079508438.43,0.94);100.306867
(2.299068,7.546760e+31);(5.647275,5.350000e+31);(1.383383,9.836390e+30);1.726045;(-103130594714.67,105124080722.57,147265039686.83,3.51);(-121694868213.37,205607010043.09,238922337859.67,0.95);100.113288
(2.307911,7.546760e+31);(5.664183,5.350000e+31);(1.384795,9.836390e+30);1.724163;(-104978934652.65,103301042588.02,147280963198.16,3.53);(-123329773240.10,204442223558.08,238761085063.77,0.96);99.933316
(2.316753,7.546760e+31);(5.681091,5.350000e+31);(1.386206,9.836390e+30);1.722531;(-106813381320.23,101427462207.73,147297754629.74,3.55);(-124919618661.78,203288548060.57,238602483011.34,0.97);99.770504
(2.325596,7.546760e+31);(5.697999,5.350000e+31);(1.387618,9.836390e+30);1.721146;(-108614911513.27,99521783308.72,147315255000.91,3.57);(-126531949380.17,202097013013.10,238439797187.39,0.98);99.617304
(2.334438,7.546760e+31);(5.714907,5.350000e+31);(1.389030,9.836390e+30);1.720008;(-110365798590.78,97603714730.59,147333277394.45,3.59);(-128132711790.96,200892148684.11,238276409310.33,0.98);99.477582
(2.343281,7.546760e+31);(5.731815,5.350000e+31);(1.390441,9.836390e+30);1.719115;(-112100170254.74,95635845051.94,147352173482.25,3.60);(-129688812751.36,199699591080.42,238115759307.41,0.99);99.351316
(2.352124,7.546760e+31);(5.748723,5.350000e+31);(1.391853,9.836390e+30);1.718463;(-113783492141.53,93657331789.04,147371567412.99,3.62);(-131266365707.52,198468717413.42,237951025544.73,1.00);99.238616
(2.360966,7.546760e+31);(5.765631,5.350000e+31);(1.393265,9.836390e+30);1.718050;(-115448572749.22,91629584987.29,147391837612.45,3.64);(-132832036238.95,197224891400.92,237785633795.42,1.01);99.139263
(2.369809,7.546760e+31);(5.782539,5.350000e+31);(1.394676,9.836390e+30);1.717874;(-117062255139.93,89592954107.15,147412580888.10,3.66);(-134385721965.91,195968241035.58,237619598861.03,1.02);99.053258
(2.378651,7.546760e+31);(5.799447,5.350000e+31);(1.396088,9.836390e+30);1.717932;(-118655988140.19,87507716192.93,147434201984.57,3.67);(-135927322049.97,194698895012.91,237452935544.97,1.03);98.980817
(2.387494,7.546760e+31);(5.816355,5.350000e+31);(1.397499,9.836390e+30);1.718221;(-120198033156.72,85415365314.05,147456270827.91,3.69);(-137456737196.00,193416982710.13,237285658650.62,1.03);98.92172
(2.396336,7.546760e+31);(5.833263,5.350000e+31);(1.398911,9.836390e+30);1.718737;(-121718440379.06,83275092423.73,147479218015.60,3.71);(-139005345278.12,192095537262.25,237114279308.44,1.04);98.875967
(2.405179,7.546760e+31);(5.850171,5.350000e+31);(1.400323,9.836390e+30);1.719478;(-123186928929.22,81129487471.14,147502587083.56,3.73);(-140509839938.79,190788628180.36,236945807649.27,1.05);98.843557
(2.414022,7.546760e+31);(5.867079,5.350000e+31);(1.401734,9.836390e+30);1.720439;(-124632112942.75,78936703561.77,147526833985.46,3.75);(-142001859096.08,189469547571.46,236776767111.29,1.06);98.824599
(2.422864,7.546760e+31);(5.883987,5.350000e+31);(1.403146,9.836390e+30);1.721618;(-126025207032.69,76740376446.38,147551476389.65,3.76);(-143511997252.98,188110568592.86,236603633471.40,1.07);98.818855
(2.431707,7.546760e+31);(5.900895,5.350000e+31);(1.404557,9.836390e+30);1.723011;(-127380130634.44,74519776236.09,147576741835.31,3.78);(-144978523011.52,186767294572.92,236433488441.65,1.08);98.82262
(2.440549,7.546760e+31);(5.917803,5.350000e+31);(1.405969,9.836390e+30);1.724615;(-128696459839.19,72275553072.19,147602623103.49,3.80);(-146432296828.81,185412249231.93,236262819165.02,1.08);98.83976
(2.449392,7.546760e+31);(5.934711,5.350000e+31);(1.407381,9.836390e+30);1.726424;(-129986231715.30,69985804541.50,147629378081.95,3.82);(-147903112591.02,184016970799.40,236088068856.30,1.09);98.873935
(2.458234,7.546760e+31);(5.951619,5.350000e+31);(1.408792,9.836390e+30);1.728437;(-131223750780.34,67696098093.76,147656474514.26,3.83);(-149360455061.30,182609707340.30,235912803279.16,1.10);98.917472
(2.467077,7.546760e+31);(5.968527,5.350000e+31);(1.410204,9.836390e+30);1.730649;(-132421464064.29,65384769883.88,147684163936.76,3.85);(-150804233547.76,181190602054.88,235737038093.16,1.11);98.970444
(2.475920,7.546760e+31);(5.985435,5.350000e+31);(1.411616,9.836390e+30);1.733057;(-133578990980.52,63052498977.86,147712438402.21,3.87);(-152205309855.68,179789114709.21,235564390594.56,1.12);99.040354
(2.484762,7.546760e+31);(6.002343,5.350000e+31);(1.413027,9.836390e+30);1.735657;(-134695962069.04,60699971251.11,147741289785.86,3.89);(-153621976293.06,178346991757.09,235387682492.07,1.13);99.119747
(2.493605,7.546760e+31);(6.019251,5.350000e+31);(1.414439,9.836390e+30);1.738444;(-135772019121.79,58327879222.50,147770709787.17,3.90);(-155024818474.62,176893456620.84,235210521317.31,1.14);99.212142
(2.502447,7.546760e+31);(6.036159,5.350000e+31);(1.415850,9.836390e+30);1.741417;(-136806815306.08,55936921885.80,147800689931.58,3.92);(-156413752383.44,175428654417.61,235032922641.58,1.14);99.313923
(2.511290,7.546760e+31);(6.053067,5.350000e+31);(1.417262,9.836390e+30);1.744570;(-137800015285.99,53527804538.89,147831221572.35,3.94);(-157788695674.84,173952730691.87,234854902009.57,1.15);99.428719
(2.520132,7.546760e+31);(6.069975,5.350000e+31);(1.418674,9.836390e+30);1.747900;(-138751295341.94,51101238610.44,147862295892.45,3.96);(-159149567673.74,172465831393.93,234676474937.60,1.16);99.556596
(2.528975,7.546760e+31);(6.086883,5.350000e+31);(1.420085,9.836390e+30);1.751404;(-139660343488.11,48657941484.24,147893903906.48,3.97);(-160523625605.24,170937425240.65,234494003602.13,1.17);99.693638
(2.537818,7.546760e+31);(6.103791,5.350000e+31);(1.421497,9.836390e+30);1.755078;(-140526859587.86,46198636321.07,147926036462.66,3.99);(-161855828503.63,169428797684.99,234314802574.61,1.18);99.843666
(2.546660,7.546760e+31);(6.120699,5.350000e+31);(1.422908,9.836390e+30);1.758919;(-141342610852.39,43748625222.58,147958358504.81,4.01);(-163200472953.67,167878525733.61,234131573639.25,1.19);100.002853
(2.555503,7.546760e+31);(6.137607,5.350000e+31);(1.424320,9.836390e+30);1.762922;(-142123638420.14,41259636066.15,147991507074.19,4.03);(-164503697935.95,166348770152.63,233951661601.06,1.20);100.174912
(2.564345,7.546760e+31);(6.154515,5.350000e+31);(1.425732,9.836390e+30);1.767085;(-142861308301.05,38756833854.08,148025151848.87,4.04);(-165818620754.84,164777246236.05,233767739147.59,1.20);100.356103
(2.573188,7.546760e+31);(6.171423,5.350000e+31);(1.427143,9.836390e+30);1.771405;(-143548711397.03,36265934213.12,148058942749.50,4.06);(-167092572646.33,163226965424.29,233587178747.45,1.21);100.546244
(2.582030,7.546760e+31);(6.188331,5.350000e+31);(1.428555,9.836390e+30);1.775877;(-144199358319.95,33737862200.45,148093545726.15,4.08);(-168377479567.98,161634805815.40,233402626541.88,1.22);100.749246
(2.590873,7.546760e+31);(6.205239,5.350000e+31);(1.429967,9.836390e+30);1.780499;(-144800142817.95,31223416444.42,148128265684.03,4.10);(-169647119490.44,160032459040.87,233217780407.22,1.23);100.961153
(2.599716,7.546760e+31);(6.222147,5.350000e+31);(1.431378,9.836390e+30);1.785267;(-145362867885.95,28673060088.48,148163786853.82,4.12);(-170901422646.59,158420083074.26,233032656475.19,1.24);101.181982
(2.608558,7.546760e+31);(6.239055,5.350000e+31);(1.432790,9.836390e+30);1.790179;(-145876192917.69,26138041545.07,148199395666.69,4.13);(-172140321033.66,156797836104.58,232847270829.30,1.25);101.411723
(2.617401,7.546760e+31);(6.255963,5.350000e+31);(1.434201,9.836390e+30);1.795231;(-146350196853.87,23568420735.92,148235793839.25,4.15);(-173363748407.02,155165876514.77,232661639503.23,1.26);101.650286
(2.626243,7.546760e+31);(6.272871,5.350000e+31);(1.435613,9.836390e+30);1.800420;(-146775320926.13,21015835284.41,148272250153.80,4.17);(-174571640273.65,153524362860.47,232475778479.28,1.27);101.901559
(2.635086,7.546760e+31);(6.289779,5.350000e+31);(1.437025,9.836390e+30);1.805743;(-147156318912.18,18455639061.25,148309112359.77,4.18);(-175763933885.48,151873453848.97,232289703686.83,1.27);102.157695
(2.643928,7.546760e+31);(6.306687,5.350000e+31);(1.438436,9.836390e+30);1.811198;(-147496187966.26,15862884152.10,148346744346.48,4.20);(-176940568232.30,150213308318.47,232103431000.81,1.28);102.426445
(2.652771,7.546760e+31);(6.323595,5.350000e+31);(1.439848,9.836390e+30);1.816781;(-147788063506.85,13289676381.74,148384390059.86,4.22);(-178124541623.28,148510609256.39,231913245396.22,1.29);102.700025
(2.661614,7.546760e+31);(6.340503,5.350000e+31);(1.441259,9.836390e+30);1.822490;(-148035411542.09,10711138662.55,148422409230.83,4.24);(-179269365227.34,146832290875.55,231726621156.86,1.30);102.982293
(2.670456,7.546760e+31);(6.357411,5.350000e+31);(1.442671,9.836390e+30);1.828321;(-148238124209.28,8128034477.30,148460790828.93,4.25);(-180420773729.94,145111386541.03,231536109704.66,1.31);103.273244
(2.679299,7.546760e+31);(6.374319,5.350000e+31);(1.444083,9.836390e+30);1.834273;(-148396106484.05,5541129828.31,148499523700.92,4.27);(-181533558869.07,143415544520.48,231349197979.54,1.32);103.57653
(2.688141,7.546760e+31);(6.391227,5.350000e+31);(1.445494,9.836390e+30);1.840343;(-148509276248.06,2951193030.58,148538596573.51,4.29);(-182652177383.05,141677097317.35,231158425775.57,1.33);103.880824
(2.696984,7.546760e+31);(6.408135,5.350000e+31);(1.446906,9.836390e+30);1.846528;(-148577564353.84,358994502.75,148577998056.15,4.31);(-183754157572.18,139930043589.65,230967546473.66,1.34);104.197624
(2.705826,7.546760e+31);(6.425044,5.350000e+31);(1.448318,9.836390e+30);1.852825;(-148600914686.45,-2234693443.80,148617716643.87,4.32);(-184818328044.91,138209053698.83,230780321746.98,1.34);104.522808
(2.714669,7.546760e+31);(6.441952,5.350000e+31);(1.449729,9.836390e+30);1.859233;(-148579284222.10,-4829096817.91,148657740720.18,4.34);(-185887206289.62,136445454205.65,230589278665.65,1.35);104.852697
(2.723512,7.546760e+31);(6.458860,5.350000e+31);(1.451141,9.836390e+30);1.865748;(-148512643083.50,-7423440163.46,148698058559.98,4.36);(-186939296742.84,134673751572.30,230398177139.63,1.36);105.191016
(2.732354,7.546760e+31);(6.475768,5.350000e+31);(1.452552,9.836390e+30);1.872370;(-148402314184.60,-9991018404.79,148738250978.39,4.38);(-187994683387.11,132859141563.14,230203285117.12,1.37);105.537825
(2.741197,7.546760e+31);(6.492676,5.350000e+31);(1.453964,9.836390e+30);1.879094;(-148246065190.27,-12582930547.92,148779118109.94,4.39);(-189012728918.24,131071588331.56,230012114813.28,1.38);105.889102
(2.750039,7.546760e+31);(6.509584,5.350000e+31);(1.455376,9.836390e+30);1.885919;(-148044795109.03,-15172457469.75,148820243329.15,4.41);(-190013851442.06,129276441328.17,229820934691.16,1.39);106.248894
(2.758882,7.546760e+31);(6.526492,5.350000e+31);(1.456787,9.836390e+30);1.892844;(-147801212316.61,-17732974641.82,148861199618.66,4.43);(-190998009727.94,127473869005.55,229629760700.30,1.40);106.61694
(2.767724,7.546760e+31);(6.543400,5.350000e+31);(1.458199,9.836390e+30);1.899865;(-147510432014.98,-20315436676.68,148902802259.09,4.45);(-191983957878.88,125628481407.48,229434860959.68,1.41);106.989538
(2.776567,7.546760e+31);(6.560308,5.350000e+31);(1.459610,9.836390e+30);1.906981;(-147178318450.07,-22867431478.10,148944207152.20,4.46);(-192933736463.02,123811425873.12,229243747662.43,1.42);107.370413
(2.785410,7.546760e+31);(6.577216,5.350000e+31);(1.461022,9.836390e+30);1.914190;(-146802247516.59,-25414048055.32,148985817158.82,4.48);(-193884554160.79,121951620502.24,229048942554.32,1.43);107.75952
(2.794252,7.546760e+31);(6.594124,5.350000e+31);(1.462434,9.836390e+30);1.921490;(-146377827811.92,-27980157873.14,149028043366.15,4.50);(-194817581071.75,120084801358.04,228854209950.02,1.43);108.15303
(2.803095,7.546760e+31);(6.611032,5.350000e+31);(1.463845,9.836390e+30);1.928879;(-145913635632.15,-30513676789.27,149070028961.53,4.52);(-195732782720.01,118211146003.37,228659566322.40,1.44);108.550866
(2.811937,7.546760e+31);(6.627940,5.350000e+31);(1.465257,9.836390e+30);1.936355;(-145405748483.87,-33039543352.11,149112182993.44,4.53);(-196613038448.03,116367053325.31,228468768078.66,1.45);108.956922
(2.820780,7.546760e+31);(6.644848,5.350000e+31);(1.466669,9.836390e+30);1.943917;(-144854279569.86,-35557003694.59,149154493131.92,4.55);(-197492837724.67,114480380165.93,228274348965.18,1.46);109.367161
(2.829622,7.546760e+31);(6.661756,5.350000e+31);(1.468080,9.836390e+30);1.951562;(-144259355097.57,-38065305134.88,149196946980.08,4.57);(-198354719750.12,112587398457.58,228080067385.55,1.47);109.785625
(2.838465,7.546760e+31);(6.678664,5.350000e+31);(1.469492,9.836390e+30);1.959289;(-143614446940.31,-40588879555.11,149239962856.84,4.59);(-199214710768.45,110651704265.36,227882207825.41,1.48);110.212035
(2.847308,7.546760e+31);(6.695572,5.350000e+31);(1.470903,9.836390e+30);1.967096;(-142932606848.23,-43076499515.45,149282667818.25,4.60);(-200040332376.31,108746521569.59,227688252948.43,1.49);110.638785
(2.856150,7.546760e+31);(6.712480,5.350000e+31);(1.472315,9.836390e+30);1.974982;(-142215305614.49,-45527751718.18,149325045881.57,4.62);(-200847959722.98,106835561944.52,227494483935.08,1.50);111.073644
(2.864993,7.546760e+31);(6.729388,5.350000e+31);(1.473727,9.836390e+30);1.982945;(-141448081272.61,-47991922305.16,149367949380.87,4.64);(-201652578951.50,104882090064.36,227297196230.09,1.51);111.516313
(2.873835,7.546760e+31);(6.746296,5.350000e+31);(1.475138,9.836390e+30);1.990983;(-140638227621.09,-50443196243.32,149410933721.88,4.65);(-202423806506.86,102959999637.97,227103850619.44,1.52);111.959294
(2.882678,7.546760e+31);(6.763204,5.350000e+31);(1.476550,9.836390e+30);1.999096;(-139785948925.37,-52880832707.13,149453986178.91,4.67);(-203191285696.87,100995546050.25,226907027006.96,1.53);112.41025
(2.891520,7.546760e+31);(6.780112,5.350000e+31);(1.477961,9.836390e+30);2.007281;(-138891462428.55,-55304093647.08,149497093984.02,4.69);(-203926037979.49,99063036573.95,226714168461.67,1.53);112.868986
(2.900363,7.546760e+31);(6.797020,5.350000e+31);(1.479373,9.836390e+30);2.015537;(-137964666635.76,-57687997243.86,149539808298.41,4.71);(-204656307328.73,97088324965.45,226517873409.64,1.54);113.327904
(2.909205,7.546760e+31);(6.813928,5.350000e+31);(1.480785,9.836390e+30);2.023863;(-136986888374.07,-60080468917.20,149582988109.34,4.72);(-205367772531.89,95108709171.44,226321869369.64,1.55);113.794642
