000,-40357365482.910004,141473545745.359985,147117235885.140015,3.020000,-73268873897.350006,231667266956.230011,242977469040.149994,0.720000
001,-42867950515.720001,140727950519.730011,147112260668.179993,3.030000,-75086214415.449997,230947852629.869995,242847380528.570007,0.730000
002,-45365015619.760002,139938533054.820007,147108047623.899994,3.050000,-76896402310.419998,230213220970.649994,242716261914.950012,0.740000
003,-47847809455.809998,139105535009.250000,147104597956.450012,3.070000,-78699306523.750000,229463454499.970001,242584125198.619995,0.750000
004,-50315584882.389999,138229210457.519989,147101912651.630005,3.090000,-80533746186.770004,228681843925.190002,242448076948.239990,0.750000
005,-52767599144.440002,137309825821.669998,147099992476.700012,3.110000,-82321528832.860001,227901735687.500000,242313918788.730011,0.760000
006,-55203114060.820000,136347659800.720001,147098837980.260010,3.120000,-84101638427.380005,227106749083.799988,242178779139.670013,0.770000
007,-57621396211.089996,135343003297.820007,147098449492.140015,3.140000,-85873948352.059998,226296971269.769989,242042670228.700012,0.780000
008,-60021717121.199997,134296159345.199997,147098827123.299988,3.160000,-87638333118.630005,225472490510.859985,241905604335.619995,0.790000
009,-62403353448.300003,133207443026.750000,147099970765.869995,3.180000,-89432759258.919998,224614993362.339996,241764583162.690002,0.800000
010,-64765587164.519997,132077181398.479996,147101880093.130005,3.190000,-91180742785.589996,223761061155.600006,241625620215.269989,0.800000
011,-67107705739.889999,130905713406.649994,147104554559.589996,3.210000,-92958155132.630005,222873662294.079987,241482686646.549988,0.810000
012,-69429002324.169998,129693389803.649994,147107993401.079987,3.230000,-94689238697.880005,221990652682.679993,241341877434.619995,0.820000
013,-71706335841.000000,128453050933.289993,147112150734.779999,3.250000,-96449132616.750000,221073738675.809998,241197083553.320007,0.830000
014,-73984112691.190002,127160506626.580002,147117107693.940002,3.270000,-98162827181.880005,220162034230.079987,241054479229.619995,0.840000
015,-76238989603.789993,125828225091.550003,147122825440.170013,3.280000,-99904708003.070007,219216000209.920013,240907877474.390015,0.840000
016,-78470284183.229996,124456603307.479996,147129302338.559998,3.300000,-101637300467.169998,218255402566.440002,240760382114.029999,0.850000
017,-80677320606.550003,123046049606.470001,147136536536.679993,3.320000,-103360482127.619995,217280345372.670013,240612006664.089996,0.860000
018,-82859429799.339996,121596983575.880005,147144525964.869995,3.340000,-105037771300.639999,216312133763.000000,240465948967.640015,0.870000
019,-85015949610.580002,120109835958.470001,147153268336.649994,3.350000,-106741975913.389999,215308775787.750000,240315872037.440002,0.880000
020,-87146224986.479996,118585048550.220001,147162761149.179993,3.370000,-108436412866.149994,214291274226.179993,240164955488.429993,0.880000
021,-89229119340.020004,117038566589.279999,147172897666.209991,3.390000,-110120965026.089996,213259737087.899994,240013212971.869995,0.890000
022,-91305242946.360001,115440226425.050003,147183875701.660004,3.410000,-111795516613.369995,212214273323.140015,239860658168.279999,0.900000
023,-93353207427.320007,113805632419.970001,147195595407.880005,3.430000,-113495256026.199997,211132305614.940002,239704033371.850006,0.910000
024,-95372387757.740005,112135269412.419998,147208053423.739990,3.440000,-115149245735.740005,210059028705.859985,239549878593.910004,0.920000
025,-97362166860.960007,110429632750.119995,147221246174.549988,3.460000,-116792893351.800003,208972159853.899994,239394953020.089996,0.930000
026,-99302869962.929993,108706458071.000000,147235029830.589996,3.480000,-118426088596.389999,207871811594.000000,239239270429.440002,0.930000
027,-101232331006.110001,106932134863.500000,147249673369.399994,3.500000,-120083131166.639999,206734256871.899994,239079508438.429993,0.940000
028,-103130594714.669998,105124080722.570007,147265039686.829987,3.510000,-121694868213.369995,205607010043.089996,238922337859.670013,0.950000
029,-104978934652.649994,103301042588.020004,147280963198.160004,3.530000,-123329773240.100006,204442223558.079987,238761085063.769989,0.960000
030,-106813381320.229996,101427462207.729996,147297754629.739990,3.550000,-124919618661.779999,203288548060.570007,238602483011.339996,0.970000
031,-108614911513.270004,99521783308.720001,147315255000.910004,3.570000,-126531949380.169998,202097013013.100006,238439797187.390015,0.980000
032,-110365798590.779999,97603714730.589996,147333277394.450012,3.590000,-128132711790.960007,200892148684.109985,238276409310.329987,0.980000
033,-112100170254.740005,95635845051.940002,147352173482.250000,3.600000,-129688812751.360001,199699591080.420013,238115759307.410004,0.990000
034,-113783492141.529999,93657331789.039993,147371567412.989990,3.620000,-131266365707.520004,198468717413.420013,237951025544.730011,1.000000
035,-115448572749.220001,91629584987.289993,147391837612.450012,3.640000,-132832036238.949997,197224891400.920013,237785633795.420013,1.010000
036,-117062255139.929993,89592954107.149994,147412580888.100006,3.660000,-134385721965.910004,195968241035.579987,237619598861.029999,1.020000
037,-118655988140.190002,87507716192.929993,147434201984.570007,3.670000,-135927322049.970001,194698895012.910004,237452935544.970001,1.030000
038,-120198033156.720001,85415365314.050003,147456270827.910004,3.690000,-137456737196.000000,193416982710.130005,237285658650.619995,1.030000
039,-121718440379.059998,83275092423.729996,147479218015.600006,3.710000,-139005345278.119995,192095537262.250000,237114279308.440002,1.040000
040,-123186928929.220001,81129487471.139999,147502587083.559998,3.730000,-140509839938.790009,190788628180.359985,236945807649.269989,1.050000
041,-124632112942.750000,78936703561.770004,147526833985.459991,3.750000,-142001859096.079987,189469547571.459991,236776767111.290009,1.060000
042,-126025207032.690002,76740376446.380005,147551476389.649994,3.760000,-143511997252.980011,188110568592.859985,236603633471.399994,1.070000
043,-127380130634.440002,74519776236.089996,147576741835.309998,3.780000,-144978523011.519989,186767294572.920013,236433488441.649994,1.080000
044,-128696459839.190002,72275553072.190002,147602623103.489990,3.800000,-146432296828.809998,185412249231.929993,236262819165.019989,1.080000
